rank,site,kind,theorems_dominated,area,eligible,chain_length,chain,constant_alone
237,Filter.mem_atTop_sets,theorem,87,filters,true,1,Filter.mem_atTop_sets,
238,Prop.instBooleanAlgebra,definition,87,Prop,true,1,Prop.instBooleanAlgebra,
239,Mathlib.Tactic.Contrapose.contrapose₁,theorem,87,Mathlib,true,1,Mathlib.Tactic.Contrapose.contrapose₁,
240,Set.add_mem_addCenter,theorem,87,sets,true,2,_private.Mathlib.Algebra.Group.Center.0.Set.add_mem_addCenter._proof_1_4 > Set.add_mem_addCenter,86
241,Set.Pairwise.of_refl,theorem,87,sets,true,2,Set.pairwise_iff_of_refl > Set.Pairwise.of_refl,86
242,ModuleCat.monoidalCategory,definition,87,ModuleCat,true,1,ModuleCat.monoidalCategory,
243,IsStrictOrderedRing.toCharZero,theorem,87,IsStrictOrderedRing,true,1,IsStrictOrderedRing.toCharZero,
244,Function.eq_update_iff,theorem,87,Function,true,1,Function.eq_update_iff,
245,trichotomous,theorem,86,order / root namespace,true,1,trichotomous,
246,instSeparatelyContinuousMulOfContinuousMul,theorem,86,order / root namespace,true,1,instSeparatelyContinuousMulOfContinuousMul,
247,Set.instBooleanAlgebra,definition,85,sets,true,1,Set.instBooleanAlgebra,
248,Finset.disjoint_left,theorem,84,finsets,true,1,Finset.disjoint_left,
249,BitVec.neg_eq_not_add,theorem,83,BitVec,true,1,BitVec.neg_eq_not_add,
250,Function.update_comp_eq_of_injective',theorem,82,Function,true,1,Function.update_comp_eq_of_injective',
251,Finset.mem_map_equiv,theorem,82,finsets,true,2,_private.Mathlib.Data.Finset.Image.0.Finset.mem_map_equiv._proof_1_1 > Finset.mem_map_equiv,81
252,IsDomain.to_noZeroDivisors,theorem,82,IsDomain,true,1,IsDomain.to_noZeroDivisors,
253,Ideal.add_pow_add_pred_mem_of_pow_mem,theorem,81,Ideal,true,4,Ideal.add_pow_mem_of_pow_mem_of_le_of_commute > Ideal.add_pow_add_pred_mem_of_pow_mem_of_commute > Ideal.add_pow_add_pred_mem_of_pow_mem > Ideal.radical._proof_1,78
254,List.getElem_filter_eq_getElem_getElem_findIdxs._proof_2,theorem,81,lists,true,2,_private.Batteries.Data.List.Lemmas.0.List.getElem_filter_eq_getElem_getElem_findIdxs._proof_1 > List.getElem_filter_eq_getElem_getElem_findIdxs._proof_2,80
255,IsLocallyConstant.comp₂,theorem,80,IsLocallyConstant,true,2,IsLocallyConstant.prodMk > IsLocallyConstant.comp₂,79
256,Function.apply_update,theorem,80,Function,true,2,_private.Mathlib.Logic.Function.Basic.0.Function.apply_update._proof_1_2 > Function.apply_update,79
257,Filter.instSProd,definition,80,filters,true,1,Filter.instSProd,
258,Set.image2_subset_iff,theorem,79,sets,true,1,Set.image2_subset_iff,
259,smul_eq_zero,theorem,78,order / root namespace,true,1,smul_eq_zero,
260,CategoryTheory.Functor.map_comp_assoc,theorem,78,category theory,true,2,_private.Mathlib.CategoryTheory.Functor.Basic.0.CategoryTheory.Functor.map_comp_assoc._proof_1_1 > CategoryTheory.Functor.map_comp_assoc,77
261,Classical.not_not._simp_1,theorem,78,classical logic,true,1,Classical.not_not._simp_1,
262,RBTree.RBNode.reverse_balLeft,theorem,77,RBTree,true,2,RBTree.RBNode.reverse_balLeft > RBTree.RBNode.reverse_balRight,
263,Set.image_preimage_eq,theorem,77,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_preimage_eq._proof_1_3 > Set.image_preimage_eq,76
264,LinearMap.toPerfPair,definition,77,LinearMap,true,1,LinearMap.toPerfPair,
265,Submonoid.center,definition,77,Submonoid,true,2,Submonoid.center._proof_1 > Submonoid.center,75
266,Classical.decEq,definition,77,classical logic,true,1,Classical.decEq,
267,Homeomorph.isOpen_preimage,theorem,76,Homeomorph,true,1,Homeomorph.isOpen_preimage,
268,Set.image_preimage_eq_inter_range,theorem,76,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_preimage_eq_inter_range._proof_1_1 > Set.image_preimage_eq_inter_range,75
269,AddMonoidHom.range,definition,76,AddMonoidHom,true,2,AddMonoidHom.range._proof_1 > AddMonoidHom.range,74
270,_private.Init.Data.Nat.Sqrt.Lemmas.0.Nat.sqrt_isSqrt,theorem,75,order / root namespace,true,3,_private.Init.Data.Nat.Sqrt.Lemmas.0.Nat.sqrt.lt_iter_succ_sq._unary > _private.Init.Data.Nat.Sqrt.Lemmas.0.Nat.sqrt.lt_iter_succ_sq > _private.Init.Data.Nat.Sqrt.Lemmas.0.Nat.sqrt_isSqrt,73
271,Classical.not_forall._simp_1,theorem,75,classical logic,true,1,Classical.not_forall._simp_1,
272,Lean.NameMap,definition,75,Lean,true,1,Lean.NameMap,
273,Finset.sum_comm,theorem,74,finsets,true,2,Finset.sum_comm' > Finset.sum_comm,73
274,Module.reflection,definition,74,Module,true,1,Module.reflection,
275,Subtype.range_coe,theorem,74,Subtype,true,1,Subtype.range_coe,
276,Set.pairwise_union,theorem,73,sets,true,2,_private.Mathlib.Data.Set.Pairwise.Basic.0.Set.pairwise_union._proof_1_2 > Set.pairwise_union,72
277,Ideal.radical,definition,72,Ideal,true,1,Ideal.radical,
278,CategoryTheory.asIso,definition,72,category theory,true,1,CategoryTheory.asIso,
279,List.Nodup.pmap,theorem,71,lists,true,3,_private.Mathlib.Data.List.Nodup.0.List.Nodup.pmap._proof_1_1 > List.Nodup.pmap > Multiset.Nodup.pmap,70
280,Std.DTreeMap.Internal.Impl.Equiv.contains_eq,theorem,71,Std: other,true,1,Std.DTreeMap.Internal.Impl.Equiv.contains_eq,
281,Monoid.Coprod.hom_ext,theorem,71,Monoid,true,1,Monoid.Coprod.hom_ext,
282,List.getElem?_mapIdx,theorem,71,lists,true,3,List.getElem?_mapIdx_go._f > List.getElem?_mapIdx_go > List.getElem?_mapIdx,70
283,Std.Http.IsValidReasonPhrase,definition,71,Std: other,true,1,Std.Http.IsValidReasonPhrase,
284,specializes_TFAE,theorem,70,order / root namespace,true,1,specializes_TFAE,
285,Function.Surjective.image_preimage,theorem,70,Function,true,1,Function.Surjective.image_preimage,
286,Lean.Order.instCompleteLatticePi,definition,70,Lean,true,2,Lean.Order.instCompleteLatticePi._proof_1 > Lean.Order.instCompleteLatticePi,69
287,Classical.skolem,theorem,69,classical logic,true,1,Classical.skolem,
288,Filter.eventually_inf_principal,theorem,69,filters,true,1,Filter.eventually_inf_principal,
289,String.toSlice,definition,69,strings,true,1,String.toSlice,
290,inner_add_right,theorem,69,order / root namespace,true,1,inner_add_right,
291,Real.instCommSemiring,definition,69,Real,true,1,Real.instCommSemiring,
292,CharP.intCast_eq_zero_iff,theorem,68,CharP,true,1,CharP.intCast_eq_zero_iff,
293,Nat.Linear.instLawfulBEqPolyCnstr,theorem,68,Nat,true,2,Nat.Linear.instLawfulBEqPolyCnstr > Nat.Linear.ExprCnstr.eq_of_toNormPoly_eq,
294,CategoryTheory.Functor.mapIso,definition,68,category theory,true,1,CategoryTheory.Functor.mapIso,
295,LinearEquiv.symm_apply_eq,theorem,67,LinearEquiv,true,1,LinearEquiv.symm_apply_eq,
296,Classical.decPred,definition,67,classical logic,true,1,Classical.decPred,
297,Classical.not_imp,theorem,67,classical logic,true,1,Classical.not_imp,
298,Set.eq_empty_or_nonempty,theorem,66,sets,true,1,Set.eq_empty_or_nonempty,
299,Filter.eventually_atTop,theorem,66,filters,true,1,Filter.eventually_atTop,
300,Std.DTreeMap.Internal.Impl.WF.balanced,theorem,66,Std: other,true,1,Std.DTreeMap.Internal.Impl.WF.balanced,
301,AddMonoidHom.mrange._proof_1,theorem,65,AddMonoidHom,true,1,AddMonoidHom.mrange._proof_1,
302,PFunctor.M.children,definition,65,category theory,true,2,PFunctor.M.children._proof_1 > PFunctor.M.children,64
303,Multiset.cons_eq_cons,theorem,65,multisets,true,1,Multiset.cons_eq_cons,
304,of_not_not,theorem,65,order / root namespace,true,1,of_not_not,
305,Int.natAbs_of_isUnit,theorem,65,Int,true,2,Int.natAbs_of_isUnit > Int.isUnit_eq_one_or,
306,Filter.map_bot,theorem,65,filters,true,1,Filter.map_bot,
307,Fin.insertNth_apply_succAbove,theorem,65,Fin,true,1,Fin.insertNth_apply_succAbove,
308,DistribMulAction.toAddEquiv,definition,65,DistribMulAction,true,1,DistribMulAction.toAddEquiv,
309,Std.Http.Status._sizeOf_1,definition,64,Std: other,true,4,Std.Http.CustomStatus._sizeOf_1 > Std.Http.CustomStatus._sizeOf_inst > Std.Http.Status._sizeOf_1 > Std.Http.Status._sizeOf_inst,63
310,BitVec.toInt_signExtend,theorem,63,BitVec,true,3,BitVec.toInt_signExtend_eq_toNat_bmod > BitVec.toInt_signExtend > BitVec.toInt_signExtend_eq_toInt_bmod_of_le,62
311,IsLocallyConstant.const,theorem,63,IsLocallyConstant,true,2,IsLocallyConstant.of_constant > IsLocallyConstant.const,62
312,Set.pairwise_insert,theorem,63,sets,true,2,_private.Mathlib.Data.Set.Pairwise.Basic.0.Set.pairwise_insert._simp_1_1 > Set.pairwise_insert,62
313,BitVec.not_not,theorem,63,BitVec,true,1,BitVec.not_not,
314,Std.Iter.toArray,definition,63,Std: other,true,1,Std.Iter.toArray,
315,CategoryTheory.typesCartesianMonoidalCategory,definition,63,category theory,true,1,CategoryTheory.typesCartesianMonoidalCategory,
316,Function.update_eq_iff,theorem,63,Function,true,1,Function.update_eq_iff,
317,String.Pos.Raw.isValidForSlice_iff_isUTF8FirstByte,theorem,62,strings,true,1,String.Pos.Raw.isValidForSlice_iff_isUTF8FirstByte,
318,ValuativeRel.zero_vlt_mul,theorem,62,ValuativeRel,true,1,ValuativeRel.zero_vlt_mul,
319,AddSubsemigroup.instCompleteLattice._proof_1,theorem,62,AddSubsemigroup,true,1,AddSubsemigroup.instCompleteLattice._proof_1,
320,AddSubmonoid.coe_iInf,theorem,62,AddSubmonoid,true,1,AddSubmonoid.coe_iInf,
321,Subsemigroup.instCompleteLattice._proof_1,theorem,62,Subsemigroup,true,1,Subsemigroup.instCompleteLattice._proof_1,
322,Equiv.Set.imageOfInjOn,definition,62,sets,true,1,Equiv.Set.imageOfInjOn,
323,CategoryTheory.Limits.Image.imageFactorisation,definition,62,category theory,true,1,CategoryTheory.Limits.Image.imageFactorisation,
324,continuous_nsmul,theorem,61,order / root namespace,true,2,continuous_nsmul._f > continuous_nsmul,
325,Set.image2_assoc,theorem,61,sets,true,1,Set.image2_assoc,
326,CharP.intCast_eq_intCast,theorem,61,CharP,true,1,CharP.intCast_eq_intCast,
327,Submodule.coe_iInf,theorem,61,Submodule,true,1,Submodule.coe_iInf,
328,AddMonoid.Coprod.hom_ext,theorem,61,AddMonoid,true,1,AddMonoid.Coprod.hom_ext,
329,Algebra.Presentation.core,definition,61,Algebra,true,1,Algebra.Presentation.core,
330,PFunctor.M.dest,definition,61,category theory,true,1,PFunctor.M.dest,
331,FirstOrder.Language.BoundedFormula.realize_inf,theorem,60,FirstOrder,true,1,FirstOrder.Language.BoundedFormula.realize_inf,
332,String.Pos.Raw.isValidForSlice_eq_true_iff,theorem,60,strings,true,1,String.Pos.Raw.isValidForSlice_eq_true_iff,
333,Multiset.rel_cons_left,theorem,60,multisets,true,1,Multiset.rel_cons_left,
334,Int.fdiv_eq_ediv,theorem,60,Int,true,1,Int.fdiv_eq_ediv,
335,Matrix.semiring,definition,60,Matrix,true,1,Matrix.semiring,
336,Set.insert_subset_insert_iff,theorem,59,sets,true,2,_private.Mathlib.Data.Set.Insert.0.Set.insert_subset_insert_iff._proof_1_1 > Set.insert_subset_insert_iff,58
337,List.canLift,theorem,59,lists,true,2,Set.range_list_map > List.canLift,58
338,LieModule.genWeightSpaceOf,definition,59,LieModule,true,1,LieModule.genWeightSpaceOf,
339,Fintype.subtype,definition,59,Fintype,true,1,Fintype.subtype,
340,Submodule.mem_iInf,theorem,59,Submodule,true,1,Submodule.mem_iInf,
341,List.eraseIdx_toArray,theorem,59,lists,true,2,List.eraseIdx_toArray._unary > List.eraseIdx_toArray,58
342,CategoryTheory.Iso.eq_inv_comp,theorem,59,category theory,true,1,CategoryTheory.Iso.eq_inv_comp,
343,ValuativeRel.posSubmonoid,definition,59,ValuativeRel,true,1,ValuativeRel.posSubmonoid,
344,MeasurableSpace.instCompleteLattice,definition,59,MeasurableSpace,true,1,MeasurableSpace.instCompleteLattice,
345,DirectSum.decompose,definition,59,DirectSum,true,1,DirectSum.decompose,
346,Finsupp.single,definition,59,Finsupp,true,1,Finsupp.single,
347,AddSubgroup.instInfSet._proof_1,theorem,58,AddSubgroup,true,1,AddSubgroup.instInfSet._proof_1,
348,Equiv.cast,definition,58,Equiv,true,1,Equiv.cast,
349,BitVec.two_mul_toInt_lt,theorem,58,BitVec,true,2,_private.Init.Data.BitVec.Lemmas.0.BitVec.two_mul_toInt_lt._simp_1_5 > BitVec.two_mul_toInt_lt,57
350,Fintype.sum_bijective,theorem,58,Fintype,true,1,Fintype.sum_bijective,
351,LocallyConstant.const,definition,58,LocallyConstant,true,1,LocallyConstant.const,
352,ContMDiffAt,definition,58,ContMDiffAt,true,1,ContMDiffAt,
353,Positive.instOneSubtypeLtOfNat_mathlib,definition,57,Positive,true,2,Positive.instOneSubtypeLtOfNat_mathlib._proof_1 > Positive.instOneSubtypeLtOfNat_mathlib,56
354,Set.not_subset,theorem,57,sets,true,2,_private.Mathlib.Data.Set.Basic.0.Set.not_subset._simp_1_1 > Set.not_subset,56
355,ZMod.intCast_eq_intCast_iff,theorem,57,ZMod,true,1,ZMod.intCast_eq_intCast_iff,
356,_private.Mathlib.Order.DirectedInverseSystem.0.DirectLimit.lift₂Aux,definition,57,order / root namespace,true,1,_private.Mathlib.Order.DirectedInverseSystem.0.DirectLimit.lift₂Aux,
357,Function.hfunext,theorem,57,Function,true,2,_private.Mathlib.Logic.Function.Basic.0.Function.hfunext._proof_1_1 > Function.hfunext,56
358,Nat.cast_le,theorem,57,Nat,true,1,Nat.cast_le,
359,LieModule.genWeightSpace,definition,57,LieModule,true,1,LieModule.genWeightSpace,
360,Finset.cons_subset_cons,theorem,56,finsets,true,1,Finset.cons_subset_cons,
361,Classical.axiom_of_choice,theorem,56,classical logic,true,2,Classical.axiom_of_choice > MeasurableSpace.comap._proof_3,
362,List.findIdx_eq_length,theorem,56,lists,true,1,List.findIdx_eq_length,
363,AddMonoidHom.mrange,definition,56,AddMonoidHom,true,1,AddMonoidHom.mrange,
364,Lean.NameSet,definition,56,Lean,true,1,Lean.NameSet,
365,exists_ne,theorem,56,order / root namespace,true,1,exists_ne,
366,OpenPartialHomeomorph.IsImage.restr,definition,55,OpenPartialHomeomorph,true,1,OpenPartialHomeomorph.IsImage.restr,
367,RBTree.RBNode.WF.out,theorem,55,RBTree,true,1,RBTree.RBNode.WF.out,
368,IsLocalization.IsInteger,definition,55,IsLocalization,true,1,IsLocalization.IsInteger,
369,Submodule.colon,definition,55,Submodule,true,1,Submodule.colon,
370,Finite.of_injective,theorem,55,Finite,true,1,Finite.of_injective,
371,ST.instNonemptyRef,theorem,55,ST,true,1,ST.instNonemptyRef,
372,List.exists_erase_eq,theorem,54,lists,true,2,List.exists_erase_eq > List.perm_cons_erase,
373,Multiset.noncommFoldr._proof_1,theorem,54,multisets,true,1,Multiset.noncommFoldr._proof_1,
374,Std.DTreeMap.Internal.Impl.contains_keys,theorem,54,Std: other,true,1,Std.DTreeMap.Internal.Impl.contains_keys,
375,BitVec.le_two_mul_toInt,theorem,54,BitVec,true,2,_private.Init.Data.BitVec.Lemmas.0.BitVec.le_two_mul_toInt._simp_1_5 > BitVec.le_two_mul_toInt,53
376,Subtype.image_preimage_coe,theorem,54,Subtype,true,1,Subtype.image_preimage_coe,
377,HomologicalComplex.d_comp_d,theorem,54,HomologicalComplex,true,1,HomologicalComplex.d_comp_d,
378,AddSubgroup.instInfSet,definition,54,AddSubgroup,true,1,AddSubgroup.instInfSet,
379,CategoryTheory.Oplax.OplaxTrans.categoryStruct,definition,54,category theory,true,1,CategoryTheory.Oplax.OplaxTrans.categoryStruct,
380,Finsupp.instAdd,definition,54,Finsupp,true,1,Finsupp.instAdd,
381,Equiv.toPartialEquiv._proof_1,theorem,53,Equiv,true,1,Equiv.toPartialEquiv._proof_1,
382,FreeGroup.reduce.not,theorem,53,FreeGroup,true,4,_private.Mathlib.GroupTheory.FreeGroup.Reduce.0.FreeGroup.reduce.not._proof_1_3 > FreeGroup.reduce.not._f > FreeGroup.reduce.not > FreeGroup.reduce.min,52
383,List.pairwise_iff_forall_infix._proof_2,theorem,53,lists,true,2,_private.Mathlib.Data.List.Pairwise.0.List.pairwise_iff_forall_infix._proof_1 > List.pairwise_iff_forall_infix._proof_2,52
384,IsBaseChange.equiv,definition,53,IsBaseChange,true,1,IsBaseChange.equiv,
385,AddSubmonoid.closure_induction,theorem,53,AddSubmonoid,true,1,AddSubmonoid.closure_induction,
386,LinearIsometryEquiv.norm_map,theorem,53,LinearIsometryEquiv,true,1,LinearIsometryEquiv.norm_map,
387,MeasurableSpace.comap,definition,53,MeasurableSpace,true,1,MeasurableSpace.comap,
388,Nat.instLocallyFiniteOrder,definition,53,Nat,true,1,Nat.instLocallyFiniteOrder,
389,Finite.Set.subset,theorem,52,Finite,true,2,Finite.Set.finite_sep > Finite.Set.subset,51
390,Std.DHashMap.Internal.Raw₀.insert_equiv_congr,theorem,52,Std: hash maps,true,1,Std.DHashMap.Internal.Raw₀.insert_equiv_congr,
391,Std.Internal.ComputableSmall.choose,definition,52,Std: other,true,1,Std.Internal.ComputableSmall.choose,
392,trichotomous_of,theorem,52,order / root namespace,true,1,trichotomous_of,
393,Equiv.Set.image,definition,52,sets,true,1,Equiv.Set.image,
394,OpenPartialHomeomorph.restrOpen,definition,52,OpenPartialHomeomorph,true,1,OpenPartialHomeomorph.restrOpen,
395,Multiset.noncommFoldr,definition,52,multisets,true,1,Multiset.noncommFoldr,
396,Finset.sup'._proof_1,theorem,52,finsets,true,1,Finset.sup'._proof_1,
397,AddMonoidAlgebra.semiring,definition,52,AddMonoidAlgebra,true,1,AddMonoidAlgebra.semiring,
398,CategoryTheory.strongEpi_of_isIso,theorem,52,category theory,true,1,CategoryTheory.strongEpi_of_isIso,
399,Real.instPreorder,definition,52,Real,true,1,Real.instPreorder,
400,CategoryTheory.Cat.category,definition,52,category theory,true,1,CategoryTheory.Cat.category,
401,Std.DHashMap.Internal.Raw₀.insertIfNew_equiv_congr,theorem,51,Std: hash maps,true,1,Std.DHashMap.Internal.Raw₀.insertIfNew_equiv_congr,
402,Filter.map_eq_bot_iff,theorem,51,filters,true,1,Filter.map_eq_bot_iff,
403,Function.update_comp_eq_of_injective,theorem,51,Function,true,1,Function.update_comp_eq_of_injective,
404,ContMDiff,definition,51,ContMDiff,true,1,ContMDiff,
405,Equiv.piCongrLeft',definition,51,Equiv,true,1,Equiv.piCongrLeft',
406,Subsemigroup.instCompleteLattice,definition,51,Subsemigroup,true,1,Subsemigroup.instCompleteLattice,
407,AddSubsemigroup.instCompleteLattice,definition,51,AddSubsemigroup,true,1,AddSubsemigroup.instCompleteLattice,
408,Graph.instPartialOrder,definition,51,Graph,true,1,Graph.instPartialOrder,
409,map_inj_right_of_nonempty,theorem,50,order / root namespace,true,1,map_inj_right_of_nonempty,
410,dotProduct_assoc,theorem,50,order / root namespace,true,1,dotProduct_assoc,
411,monotone_iff_forall_lt,theorem,50,order / root namespace,true,1,monotone_iff_forall_lt,
412,Array.foldlM_congr,theorem,50,arrays,true,1,Array.foldlM_congr,
413,Std.DHashMap.Equiv.insert,theorem,49,Std: hash maps,true,1,Std.DHashMap.Equiv.insert,
414,Multiset.rel_map_left,theorem,49,multisets,true,2,_private.Mathlib.Data.Multiset.MapFold.0.Multiset.rel_map_left._simp_1_1 > Multiset.rel_map_left,48
415,CategoryTheory.MonoidalCategory.leftUnitor_whiskerRight,theorem,49,category theory,true,1,CategoryTheory.MonoidalCategory.leftUnitor_whiskerRight,
416,OmegaCompletePartialOrder.ωScottContinuous.isLUB,theorem,49,OmegaCompletePartialOrder,true,2,OmegaCompletePartialOrder.ωScottContinuous.isLUB > OmegaCompletePartialOrder.ωScottContinuous.map_ωSup,
417,not_isMin_iff,theorem,49,order / root namespace,true,1,not_isMin_iff,
418,Fintype.equivFin,definition,49,Fintype,true,1,Fintype.equivFin,
419,AffineSubspace.instCompleteLattice,definition,49,AffineSubspace,true,1,AffineSubspace.instCompleteLattice,
420,BitVec.ne_not_self,theorem,48,BitVec,true,2,BitVec.ne_not_self > BitVec.ne_not_self._simp_1,
421,Equiv.toPartialEquiv,definition,48,Equiv,true,1,Equiv.toPartialEquiv,
422,Function.update_eq_self,theorem,48,Function,true,1,Function.update_eq_self,
423,NonUnitalRingHom.srange,definition,48,NonUnitalRingHom,true,2,NonUnitalRingHom.srange._proof_1 > NonUnitalRingHom.srange,47
424,Set.Finite.subset,theorem,48,sets,true,1,Set.Finite.subset,
425,ContinuousMap.const,definition,48,ContinuousMap,true,2,ContinuousMap.const._proof_1 > ContinuousMap.const,47
426,Module.Flat.rTensor_preserves_injective_linearMap,theorem,48,Module,true,1,Module.Flat.rTensor_preserves_injective_linearMap,
427,String.Slice.Pos.instLinearOrderPackage,definition,48,strings,true,1,String.Slice.Pos.instLinearOrderPackage,
428,fderivWithin,definition,48,order / root namespace,true,3,definition._@.Mathlib.Analysis.Calculus.FDeriv.Defs.639413672._hygCtx._hyg.8 > wrapped._@.Mathlib.Analysis.Calculus.FDeriv.Defs.639413672._hygCtx._hyg.8 > fderivWithin,47
429,CategoryTheory.Iso.ext,theorem,48,category theory,true,1,CategoryTheory.Iso.ext,
430,CategoryTheory.Limits.Fork.ofι,definition,48,category theory,true,1,CategoryTheory.Limits.Fork.ofι,
431,CategoryTheory.ComposableArrows.map'._proof_8,theorem,48,category theory,true,2,_private.Mathlib.CategoryTheory.ComposableArrows.Basic.0.CategoryTheory.ComposableArrows.map'._proof_7 > CategoryTheory.ComposableArrows.map'._proof_8,47
432,Finsupp.smulZeroClass,definition,48,Finsupp,true,1,Finsupp.smulZeroClass,
433,Array.map_toList_inj,theorem,47,arrays,true,2,map_inj_right_of_nonempty._simp_1 > Array.map_toList_inj,46
434,Rat.div,definition,47,Rat,true,2,Rat.div > Rat.instDiv,
435,_private.Std.Data.ExtDHashMap.Basic.0.Std.ExtDHashMap.insert._proof_1,theorem,47,order / root namespace,true,1,_private.Std.Data.ExtDHashMap.Basic.0.Std.ExtDHashMap.insert._proof_1,
436,Std.DHashMap.Equiv.insertIfNew,theorem,47,Std: hash maps,true,1,Std.DHashMap.Equiv.insertIfNew,
437,normalize_eq_normalize,theorem,47,order / root namespace,true,1,normalize_eq_normalize,
438,DirectSum.SetLike.IsHomogeneous,definition,47,DirectSum,true,1,DirectSum.SetLike.IsHomogeneous,
439,Function.update_comp_equiv,theorem,47,Function,true,1,Function.update_comp_equiv,
440,Set.image_union,theorem,47,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_union._proof_1_1 > Set.image_union,46
441,not_isMax,theorem,47,order / root namespace,true,1,not_isMax,
442,HasFDerivWithinAt,definition,47,HasFDerivWithinAt,true,1,HasFDerivWithinAt,
443,RingHom.range,definition,47,RingHom,true,2,RingHom.range._proof_1 > RingHom.range,46
444,Multiset.toFinset,definition,47,multisets,true,1,Multiset.toFinset,
445,Array.toList_range',theorem,46,arrays,true,1,Array.toList_range',
446,instCommMonoidPNat,definition,46,order / root namespace,true,1,instCommMonoidPNat,
447,FirstOrder.Language.Equiv.symm,definition,46,FirstOrder,true,2,FirstOrder.Language.Equiv.symm._proof_1 > FirstOrder.Language.Equiv.symm,45
448,Set.insert_subset_iff,theorem,46,sets,true,2,_private.Mathlib.Data.Set.Insert.0.Set.insert_subset_iff._proof_1_1 > Set.insert_subset_iff,45
449,not_imp_comm,theorem,46,order / root namespace,true,1,not_imp_comm,
450,mul_eq_mul_left_iff,theorem,46,order / root namespace,true,1,mul_eq_mul_left_iff,
451,Rat.lt_iff,theorem,46,Rat,true,2,Rat.numDenCasesOn'' > Rat.lt_iff,
452,Subgroup.closure,definition,46,Subgroup,true,1,Subgroup.closure,
453,MeasurableSet.univ,theorem,46,MeasurableSet,true,1,MeasurableSet.univ,
454,CategoryTheory.Pseudofunctor.StrongTrans.categoryStruct,definition,46,category theory,true,1,CategoryTheory.Pseudofunctor.StrongTrans.categoryStruct,
455,not_iff_comm,theorem,46,order / root namespace,true,1,not_iff_comm,
456,Submodule.orthogonal,definition,46,Submodule,true,2,Submodule.orthogonal._proof_1 > Submodule.orthogonal,45
457,FreeAddGroup.reduce.not,theorem,45,FreeAddGroup,true,4,_private.Mathlib.GroupTheory.FreeGroup.Reduce.0.FreeAddGroup.reduce.not._proof_1_3 > FreeAddGroup.reduce.not._f > FreeAddGroup.reduce.not > FreeAddGroup.reduce.min,44
458,Std.DTreeMap.Internal.Impl.Equiv.getEntryGT?_eq,theorem,45,Std: other,true,1,Std.DTreeMap.Internal.Impl.Equiv.getEntryGT?_eq,
459,Std.DTreeMap.Internal.Impl.Equiv.getEntryGE?_eq,theorem,45,Std: other,true,1,Std.DTreeMap.Internal.Impl.Equiv.getEntryGE?_eq,
460,Int.lt_toNat,theorem,45,Int,true,2,_private.Init.Data.Int.LemmasAux.0.Int.lt_toNat._proof_1_1 > Int.lt_toNat,44
461,Function.update_apply_equiv_apply,theorem,45,Function,true,1,Function.update_apply_equiv_apply,
462,Std.DTreeMap.Internal.Impl.Equiv.getEntryLE?_eq,theorem,45,Std: other,true,1,Std.DTreeMap.Internal.Impl.Equiv.getEntryLE?_eq,
463,Nucleus.toClosureOperator,definition,45,Nucleus,true,2,Nucleus.toClosureOperator._proof_1 > Nucleus.toClosureOperator,44
464,Std.DTreeMap.Internal.Impl.Equiv.getEntryLT?_eq,theorem,45,Std: other,true,1,Std.DTreeMap.Internal.Impl.Equiv.getEntryLT?_eq,
465,inf_le_iff,theorem,45,order / root namespace,true,2,_private.Mathlib.Order.Lattice.0.inf_le_iff._proof_1_1 > inf_le_iff,44
466,Std.ExtDHashMap.insert,definition,45,Std: other,true,1,Std.ExtDHashMap.insert,
467,Pi.instNonempty,theorem,45,Pi,true,1,Pi.instNonempty,
468,Multiset.canLift,theorem,44,multisets,true,1,Multiset.canLift,
469,_private.Std.Data.ExtDHashMap.Basic.0.Std.ExtDHashMap.insertIfNew._proof_1,theorem,44,order / root namespace,true,1,_private.Std.Data.ExtDHashMap.Basic.0.Std.ExtDHashMap.insertIfNew._proof_1,
470,Order.isExtent_iff,theorem,44,Order,true,3,upperPolar_lowerPolar_upperPolar > lowerPolar_upperPolar_lowerPolar > Order.isExtent_iff,42
471,LieSubmodule.instCompleteLattice,definition,44,LieSubmodule,true,1,LieSubmodule.instCompleteLattice,
472,Classical.not_imp._simp_1,theorem,44,classical logic,true,1,Classical.not_imp._simp_1,
473,CategoryTheory.Limits.Cofork.ofπ,definition,44,category theory,true,1,CategoryTheory.Limits.Cofork.ofπ,
474,Isometry,definition,44,Isometry,true,1,Isometry,
475,WithTop.untopA,definition,44,WithTop,true,1,WithTop.untopA,
476,CategoryTheory.Limits.IsZero.eq_of_src,theorem,44,category theory,true,1,CategoryTheory.Limits.IsZero.eq_of_src,
477,CategoryTheory.Pretriangulated.triangleCategory,definition,44,category theory,true,1,CategoryTheory.Pretriangulated.triangleCategory,
478,instTopologicalSpaceSubtype,definition,44,order / root namespace,true,1,instTopologicalSpaceSubtype,
479,Finset.inf'._proof_1,theorem,43,finsets,true,1,Finset.inf'._proof_1,
480,Std.DHashMap.Internal.Raw₀.contains_eq_of_equiv,theorem,43,Std: hash maps,true,1,Std.DHashMap.Internal.Raw₀.contains_eq_of_equiv,
